,0,1,2,3,4,5,6,7,8
5,1,Marvel's The Avengers,BV,"$623,357,910",4349,"$207,438,708",4349,5/4,10/4
6,2,The Dark Knight Rises,WB,"$448,139,099",4404,"$160,887,295",4404,7/20,12/13
7,3,The Hunger Games,LGF,"$408,010,692",4137,"$152,535,747",4137,3/23,9/6
8,4,Skyfall,Sony,"$304,360,277",3526,"$88,364,714",3505,11/9,3/10
9,5,The Hobbit: An Unexpected Journey,WB (NL),"$303,003,568",4100,"$84,617,303",4045,12/14,4/25
10,6,The Twilight Saga: Breaking Dawn Part 2,LG/S,"$292,324,737",4070,"$141,067,634",4070,11/16,3/7
11,7,The Amazing Spider-Man,Sony,"$262,030,663",4318,"$62,004,688",4318,7/3,10/14
12,8,Brave,BV,"$237,283,207",4164,"$66,323,594",4164,6/22,1/17
13,9,Ted,Uni.,"$218,815,487",3303,"$54,415,205",3239,6/29,10/25
14,10,Madagascar 3: Europe's Most Wanted,P/DW,"$216,391,482",4263,"$60,316,738",4258,6/8,10/18
